Исходные значения,Знак,Диапазон,По возрастанию,По убыванию
9782,Положительное,9000..10000,-9055,9238
-1333,Отрицательное,-2000..-1001,-9049,9232
-8577,Отрицательное,-9000..-8001,-9024,9180
5054,Положительное,5000..5999,-8984,9155
7571,Положительное,7000..7999,-8971,9142
-5910,Отрицательное,-6000..-5001,-8959,9139
2403,Положительное,2000..2999,-8949,9125
-7418,Отрицательное,-8000..-7001,-8931,9121
8089,Положительное,8000..8999,-8820,9087
-394,Отрицательное,-1000..-1,-8798,9056
1850,Положительное,1000..1999,-8747,9024
8918,Положительное,8000..8999,-8732,9004
-3700,Отрицательное,-4000..-3001,-8698,9002
-7721,Отрицательное,-8000..-7001,-8694,8978
-8499,Отрицательное,-9000..-8001,-8693,8970
-2533,Отрицательное,-3000..-2001,-8682,8962
-518,Отрицательное,-1000..-1,-8681,8918
-7386,Отрицательное,-8000..-7001,-8655,8907
-2372,Отрицательное,-3000..-2001,-8630,8893
-6691,Отрицательное,-7000..-6001,-8577,8882
2455,Положительное,2000..2999,-8556,8881
-892,Отрицательное,-1000..-1,-8546,8867
4857,Положительное,4000..4999,-8509,8864
1954,Положительное,1000..1999,-8499,8863
-4671,Отрицательное,-5000..-4001,-8486,8848
2130,Положительное,2000..2999,-8457,8810
1641,Положительное,1000..1999,-8357,8711
-3135,Отрицательное,-4000..-3001,-8355,8672
-1252,Отрицательное,-2000..-1001,-8353,8667
-7661,Отрицательное,-8000..-7001,-8343,8651
9960,Положительное,9000..10000,-8336,8648
-4393,Отрицательное,-5000..-4001,-8317,8632
7502,Положительное,7000..7999,-8309,8591
-1979,Отрицательное,-2000..-1001,-8294,8585
-4646,Отрицательное,-5000..-4001,-8244,8544
5147,Положительное,5000..5999,-8225,8521
2433,Положительное,2000..2999,-8224,8493
-1155,Отрицательное,-2000..-1001,-8214,8480
8250,Положительное,8000..8999,-8168,8448
-2804,Отрицательное,-3000..-2001,-8137,8443
626,Положительное,0..999,-8127,8394
-8168,Отрицательное,-9000..-8001,-8102,8390
-2495,Отрицательное,-3000..-2001,-8084,8379
-8949,Отрицательное,-9000..-8001,-8079,8346
336,Положительное,0..999,-8071,8314
3145,Положительное,3000..3999,-8046,8286
-1227,Отрицательное,-2000..-1001,-8027,8265
-7832,Отрицательное,-8000..-7001,-8014,8250
-3087,Отрицательное,-4000..-3001,-8003,8212
8585,Положительное,8000..8999,-7960,8211
311,Положительное,0..999,-7919,8192
-3033,Отрицательное,-4000..-3001,-7902,8173
6358,Положительное,6000..6999,-7896,8166
2964,Положительное,2000..2999,-7859,8150
5035,Положительное,5000..5999,-7832,8136
-5319,Отрицательное,-6000..-5001,-7792,8132
-1321,Отрицательное,-2000..-1001,-7774,8128
-5425,Отрицательное,-6000..-5001,-7755,8128
-1919,Отрицательное,-2000..-1001,-7752,8105
8394,Положительное,8000..8999,-7746,8096
7661,Положительное,7000..7999,-7741,8089
-1391,Отрицательное,-2000..-1001,-7733,8087
9155,Положительное,9000..10000,-7726,8085
4038,Положительное,4000..4999,-7721,8077
9121,Положительное,9000..10000,-7713,8063
3087,Положительное,3000..3999,-7708,8049
1861,Положительное,1000..1999,-7679,8035
-2814,Отрицательное,-3000..-2001,-7674,8033
-5468,Отрицательное,-6000..-5001,-7668,8025
6696,Положительное,6000..6999,-7661,8015
6171,Положительное,6000..6999,-7661,7996
-7022,Отрицательное,-8000..-7001,-7623,7954
-8457,Отрицательное,-9000..-8001,-7614,7952
-6408,Отрицательное,-7000..-6001,-7600,7895
-4992,Отрицательное,-5000..-4001,-7573,7877
-4758,Отрицательное,-5000..-4001,-7541,7870
3833,Положительное,3000..3999,-7535,7856
9543,Положительное,9000..10000,-7530,7844
-7919,Отрицательное,-8000..-7001,-7510,7807
2608,Положительное,2000..2999,-7462,7800
2504,Положительное,2000..2999,-7420,7780
9526,Положительное,9000..10000,-7418,7779
5337,Положительное,5000..5999,-7386,7766
7338,Положительное,7000..7999,-7375,7713
-1762,Отрицательное,-2000..-1001,-7365,7699
8128,Положительное,8000..8999,-7360,7694
-9624,Отрицательное,-10000..-9001,-7340,7675
-6247,Отрицательное,-7000..-6001,-7317,7674
7595,Положительное,7000..7999,-7314,7671
-1257,Отрицательное,-2000..-1001,-7250,7669
1146,Положительное,1000..1999,-7222,7661
-6345,Отрицательное,-7000..-6001,-7209,7648
-383,Отрицательное,-1000..-1,-7195,7643
4246,Положительное,4000..4999,-7194,7636
-4818,Отрицательное,-5000..-4001,-7161,7634
4867,Положительное,4000..4999,-7152,7617
-9894,Отрицательное,-10000..-9001,-7115,7595
-1370,Отрицательное,-2000..-1001,-7022,7573
6403,Положительное,6000..6999,-7011,7571
-4146,Отрицательное,-5000..-4001,-7008,7570
6635,Положительное,6000..6999,-6976,7559
-6514,Отрицательное,-7000..-6001,-6961,7502
-221,Отрицательное,-1000..-1,-6951,7502
6635,Положительное,6000..6999,-6946,7502
9954,Положительное,9000..10000,-6944,7456
-3483,Отрицательное,-4000..-3001,-6940,7455
-4992,Отрицательное,-5000..-4001,-6930,7404
2252,Положительное,2000..2999,-6910,7403
-4707,Отрицательное,-5000..-4001,-6831,7397
7674,Положительное,7000..7999,-6824,7378
7378,Положительное,7000..7999,-6792,7338
-9982,Отрицательное,-10000..-9001,-6776,7332
9626,Положительное,9000..10000,-6749,7290
621,Положительное,0..999,-6724,7191
6010,Положительное,6000..6999,-6706,7130
-9362,Отрицательное,-10000..-9001,-6691,7123
-6335,Отрицательное,-7000..-6001,-6661,7096
1894,Положительное,1000..1999,-6651,7081
76,Положительное,0..999,-6642,7036
-2154,Отрицательное,-3000..-2001,-6639,7005
-8102,Отрицательное,-9000..-8001,-6632,6988
-2108,Отрицательное,-3000..-2001,-6606,6972
8591,Положительное,8000..8999,-6573,6959
-7420,Отрицательное,-8000..-7001,-6542,6928
-7194,Отрицательное,-8000..-7001,-6514,6890
5924,Положительное,5000..5999,-6508,6862
-7733,Отрицательное,-8000..-7001,-6493,6847
7455,Положительное,7000..7999,-6458,6758
-5880,Отрицательное,-6000..-5001,-6458,6750
-5793,Отрицательное,-6000..-5001,-6448,6696
5574,Положительное,5000..5999,-6420,6692
8015,Положительное,8000..8999,-6408,6674
-4590,Отрицательное,-5000..-4001,-6352,6654
-1315,Отрицательное,-2000..-1001,-6345,6640
7290,Положительное,7000..7999,-6335,6637
9876,Положительное,9000..10000,-6335,6635
3865,Положительное,3000..3999,-6283,6635
-3060,Отрицательное,-4000..-3001,-6262,6617
7671,Положительное,7000..7999,-6252,6579
-3409,Отрицательное,-4000..-3001,-6247,6576
214,Положительное,0..999,-6247,6561
3074,Положительное,3000..3999,-6240,6559
2236,Положительное,2000..2999,-6221,6540
4355,Положительное,4000..4999,-6218,6477
6959,Положительное,6000..6999,-6211,6403
4794,Положительное,4000..4999,-6202,6399
-6035,Отрицательное,-7000..-6001,-6151,6358
-1877,Отрицательное,-2000..-1001,-6119,6334
-2638,Отрицательное,-3000..-2001,-6083,6330
-7902,Отрицательное,-8000..-7001,-6072,6235
1078,Положительное,1000..1999,-6047,6199
-9311,Отрицательное,-10000..-9001,-6035,6197
9277,Положительное,9000..10000,-6034,6180
8150,Положительное,8000..8999,-6024,6171
-2460,Отрицательное,-3000..-2001,-6022,6113
9282,Положительное,9000..10000,-5926,6112
-2784,Отрицательное,-3000..-2001,-5917,6085
-9765,Отрицательное,-10000..-9001,-5910,6083
-7674,Отрицательное,-8000..-7001,-5880,6062
-8071,Отрицательное,-9000..-8001,-5864,6044
-2499,Отрицательное,-3000..-2001,-5863,6010
-7792,Отрицательное,-8000..-7001,-5853,6009
-8971,Отрицательное,-9000..-8001,-5830,6008
827,Положительное,0..999,-5824,5998
-7679,Отрицательное,-8000..-7001,-5818,5976
6847,Положительное,6000..6999,-5793,5947
-2202,Отрицательное,-3000..-2001,-5714,5924
-875,Отрицательное,-1000..-1,-5712,5913
5906,Положительное,5000..5999,-5707,5913
-2980,Отрицательное,-3000..-2001,-5665,5906
7669,Положительное,7000..7999,-5660,5883
-5665,Отрицательное,-6000..-5001,-5631,5879
8711,Положительное,8000..8999,-5600,5870
8881,Положительное,8000..8999,-5554,5866
5488,Положительное,5000..5999,-5527,5843
-2038,Отрицательное,-3000..-2001,-5468,5810
5498,Положительное,5000..5999,-5466,5773
3338,Положительное,3000..3999,-5428,5686
-3761,Отрицательное,-4000..-3001,-5425,5654
-6910,Отрицательное,-7000..-6001,-5407,5629
-6824,Отрицательное,-7000..-6001,-5340,5623
4124,Положительное,4000..4999,-5319,5600
1609,Положительное,1000..1999,-5261,5574
3879,Положительное,3000..3999,-5172,5569
3470,Положительное,3000..3999,-5165,5554
5303,Положительное,5000..5999,-5148,5517
-8225,Отрицательное,-9000..-8001,-5131,5507
-6776,Отрицательное,-7000..-6001,-5118,5505
-8014,Отрицательное,-9000..-8001,-5116,5498
3193,Положительное,3000..3999,-5112,5488
1118,Положительное,1000..1999,-5058,5473
-6420,Отрицательное,-7000..-6001,-5029,5423
-1853,Отрицательное,-2000..-1001,-5007,5417
-3722,Отрицательное,-4000..-3001,-4993,5411
-3768,Отрицательное,-4000..-3001,-4992,5401
7573,Положительное,7000..7999,-4992,5398
4700,Положительное,4000..4999,-4987,5381
-5407,Отрицательное,-6000..-5001,-4955,5358
3824,Положительное,3000..3999,-4936,5337
-3988,Отрицательное,-4000..-3001,-4928,5315
-873,Отрицательное,-1000..-1,-4907,5303
5159,Положительное,5000..5999,-4906,5267
-1815,Отрицательное,-2000..-1001,-4871,5238
-7530,Отрицательное,-8000..-7001,-4854,5236
4520,Положительное,4000..4999,-4842,5232
8033,Положительное,8000..8999,-4831,5227
-6792,Отрицательное,-7000..-6001,-4818,5225
-8343,Отрицательное,-9000..-8001,-4811,5222
7713,Положительное,7000..7999,-4785,5159
-9517,Отрицательное,-10000..-9001,-4784,5147
-6944,Отрицательное,-7000..-6001,-4769,5138
-2255,Отрицательное,-3000..-2001,-4758,5128
-4551,Отрицательное,-5000..-4001,-4731,5120
3317,Положительное,3000..3999,-4707,5083
5913,Положительное,5000..5999,-4706,5064
5773,Положительное,5000..5999,-4676,5054
-2996,Отрицательное,-3000..-2001,-4671,5035
3141,Положительное,3000..3999,-4646,5017
-8079,Отрицательное,-9000..-8001,-4634,4982
-4606,Отрицательное,-5000..-4001,-4606,4967
2418,Положительное,2000..2999,-4592,4957
-9930,Отрицательное,-10000..-9001,-4590,4923
2793,Положительное,2000..2999,-4564,4920
-1310,Отрицательное,-2000..-1001,-4551,4909
4909,Положительное,4000..4999,-4502,4903
-653,Отрицательное,-1000..-1,-4440,4899
3861,Положительное,3000..3999,-4393,4877
8211,Положительное,8000..8999,-4305,4868
5947,Положительное,5000..5999,-4298,4867
-4928,Отрицательное,-5000..-4001,-4260,4857
-3778,Отрицательное,-4000..-3001,-4237,4794
-278,Отрицательное,-1000..-1,-4229,4771
-2867,Отрицательное,-3000..-2001,-4199,4762
-8084,Отрицательное,-9000..-8001,-4149,4762
8978,Положительное,8000..8999,-4146,4747
7766,Положительное,7000..7999,-4123,4719
-8003,Отрицательное,-9000..-8001,-4121,4700
276,Положительное,0..999,-4053,4685
-8127,Отрицательное,-9000..-8001,-4046,4632
-8357,Отрицательное,-9000..-8001,-4042,4611
9142,Положительное,9000..10000,-3988,4520
5623,Положительное,5000..5999,-3959,4507
6477,Положительное,6000..6999,-3934,4502
7403,Положительное,7000..7999,-3911,4490
-4842,Отрицательное,-5000..-4001,-3854,4488
-8137,Отрицательное,-9000..-8001,-3778,4484
6640,Положительное,6000..6999,-3772,4478
-7375,Отрицательное,-8000..-7001,-3768,4476
-3911,Отрицательное,-4000..-3001,-3761,4433
-7755,Отрицательное,-8000..-7001,-3755,4413
9498,Положительное,9000..10000,-3740,4390
-7774,Отрицательное,-8000..-7001,-3724,4358
-2293,Отрицательное,-3000..-2001,-3722,4356
3230,Положительное,3000..3999,-3714,4355
-6072,Отрицательное,-7000..-6001,-3700,4344
8667,Положительное,8000..8999,-3690,4299
-1933,Отрицательное,-2000..-1001,-3672,4288
8970,Положительное,8000..8999,-3640,4283
9481,Положительное,9000..10000,-3629,4281
-8698,Отрицательное,-9000..-8001,-3544,4272
-7314,Отрицательное,-8000..-7001,-3518,4270
3737,Положительное,3000..3999,-3502,4246
9125,Положительное,9000..10000,-3485,4239
8521,Положительное,8000..8999,-3483,4205
7130,Положительное,7000..7999,-3475,4156
366,Положительное,0..999,-3468,4132
-1456,Отрицательное,-2000..-1001,-3461,4124
-3307,Отрицательное,-4000..-3001,-3409,4086
295,Положительное,0..999,-3330,4083
-2179,Отрицательное,-3000..-2001,-3329,4051
-1297,Отрицательное,-2000..-1001,-3307,4044
2969,Положительное,2000..2999,-3223,4038
-5712,Отрицательное,-6000..-5001,-3192,4037
-170,Отрицательное,-1000..-1,-3135,4014
4982,Положительное,4000..4999,-3117,3983
360,Положительное,0..999,-3113,3942
-7623,Отрицательное,-8000..-7001,-3099,3931
-9695,Отрицательное,-10000..-9001,-3087,3930
5017,Положительное,5000..5999,-3086,3879
8448,Положительное,8000..8999,-3065,3879
-6724,Отрицательное,-7000..-6001,-3060,3865
-7600,Отрицательное,-8000..-7001,-3050,3861
7617,Положительное,7000..7999,-3033,3848
-3016,Отрицательное,-4000..-3001,-3016,3833
6576,Положительное,6000..6999,-2998,3825
-1310,Отрицательное,-2000..-1001,-2996,3824
-5660,Отрицательное,-6000..-5001,-2990,3813
1436,Положительное,1000..1999,-2980,3777
-7746,Отрицательное,-8000..-7001,-2945,3767
-1996,Отрицательное,-2000..-1001,-2910,3764
2108,Положительное,2000..2999,-2867,3746
-662,Отрицательное,-1000..-1,-2858,3737
-4831,Отрицательное,-5000..-4001,-2836,3730
4358,Положительное,4000..4999,-2830,3637
7800,Положительное,7000..7999,-2814,3624
-88,Отрицательное,-1000..-1,-2810,3614
7332,Положительное,7000..7999,-2804,3596
-9744,Отрицательное,-10000..-9001,-2784,3594
8173,Положительное,8000..8999,-2777,3580
-190,Отрицательное,-1000..-1,-2774,3541
-6606,Отрицательное,-7000..-6001,-2739,3510
-5600,Отрицательное,-6000..-5001,-2712,3491
-1334,Отрицательное,-2000..-1001,-2696,3488
-6218,Отрицательное,-7000..-6001,-2686,3470
-6493,Отрицательное,-7000..-6001,-2653,3386
8128,Положительное,8000..8999,-2639,3382
-4907,Отрицательное,-5000..-4001,-2638,3380
-1076,Отрицательное,-2000..-1001,-2638,3369
-768,Отрицательное,-1000..-1,-2634,3356
9819,Положительное,9000..10000,-2605,3338
-3099,Отрицательное,-4000..-3001,-2546,3317
1235,Положительное,1000..1999,-2543,3317
-3329,Отрицательное,-4000..-3001,-2533,3316
-1350,Отрицательное,-2000..-1001,-2499,3306
6561,Положительное,6000..6999,-2499,3251
6008,Положительное,6000..6999,-2495,3248
-1772,Отрицательное,-2000..-1001,-2460,3244
-8336,Отрицательное,-9000..-8001,-2446,3230
-6976,Отрицательное,-7000..-6001,-2423,3193
3879,Положительное,3000..3999,-2415,3189
-934,Отрицательное,-1000..-1,-2377,3185
-8556,Отрицательное,-9000..-8001,-2372,3145
-9884,Отрицательное,-10000..-9001,-2352,3141
929,Положительное,0..999,-2317,3130
-5714,Отрицательное,-6000..-5001,-2304,3122
-1417,Отрицательное,-2000..-1001,-2293,3096
-4706,Отрицательное,-5000..-4001,-2255,3095
4478,Положительное,4000..4999,-2243,3087
8077,Положительное,8000..8999,-2202,3074
4014,Положительное,4000..4999,-2184,3056
8379,Положительное,8000..8999,-2179,2997
-9684,Отрицательное,-10000..-9001,-2161,2969
-6335,Отрицательное,-7000..-6001,-2159,2964
-7535,Отрицательное,-8000..-7001,-2154,2911
-5116,Отрицательное,-6000..-5001,-2141,2793
7877,Положительное,7000..7999,-2126,2779
-8820,Отрицательное,-9000..-8001,-2108,2762
2098,Положительное,2000..2999,-2092,2742
9087,Положительное,9000..10000,-2043,2622
8105,Положительное,8000..8999,-2038,2608
-5148,Отрицательное,-6000..-5001,-2028,2582
4083,Положительное,4000..4999,-2014,2569
-5824,Отрицательное,-6000..-5001,-2010,2551
-8630,Отрицательное,-9000..-8001,-2006,2535
101,Положительное,0..999,-1996,2504
1948,Положительное,1000..1999,-1979,2464
-8693,Отрицательное,-9000..-8001,-1977,2464
1724,Положительное,1000..1999,-1976,2455
-3117,Отрицательное,-4000..-3001,-1956,2449
-1824,Отрицательное,-2000..-1001,-1933,2433
-6632,Отрицательное,-7000..-6001,-1919,2423
1589,Положительное,1000..1999,-1899,2423
8346,Положительное,8000..8999,-1898,2422
3316,Положительное,3000..3999,-1877,2418
-4936,Отрицательное,-5000..-4001,-1869,2418
-2243,Отрицательное,-3000..-2001,-1868,2403
-4676,Отрицательное,-5000..-4001,-1853,2360
-4199,Отрицательное,-5000..-4001,-1835,2298
3510,Положительное,3000..3999,-1824,2252
-9188,Отрицательное,-10000..-9001,-1815,2236
-4123,Отрицательное,-5000..-4001,-1796,2142
885,Положительное,0..999,-1772,2130
3491,Положительное,3000..3999,-1763,2108
-1869,Отрицательное,-2000..-1001,-1762,2098
-1258,Отрицательное,-2000..-1001,-1734,2092
-4784,Отрицательное,-5000..-4001,-1730,2087
-6458,Отрицательное,-7000..-6001,-1727,1954
2535,Положительное,2000..2999,-1654,1948
-8732,Отрицательное,-9000..-8001,-1604,1934
5423,Положительное,5000..5999,-1535,1894
-2712,Отрицательное,-3000..-2001,-1507,1868
-3461,Отрицательное,-4000..-3001,-1476,1861
5083,Положительное,5000..5999,-1456,1854
1457,Положительное,1000..1999,-1441,1850
0,Ноль,0..999,-1417,1825
-2543,Отрицательное,-3000..-2001,-1391,1763
-2696,Отрицательное,-3000..-2001,-1370,1724
-9225,Отрицательное,-10000..-9001,-1350,1641
-3672,Отрицательное,-4000..-3001,-1334,1626
3056,Положительное,3000..3999,-1333,1609
756,Положительное,0..999,-1332,1589
-871,Отрицательное,-1000..-1,-1329,1528
-7726,Отрицательное,-8000..-7001,-1321,1526
-854,Отрицательное,-1000..-1,-1315,1506
1506,Положительное,1000..1999,-1310,1467
6692,Положительное,6000..6999,-1310,1457
3096,Положительное,3000..3999,-1302,1436
7570,Положительное,7000..7999,-1297,1401
851,Положительное,0..999,-1296,1377
-9096,Отрицательное,-10000..-9001,-1258,1327
-6221,Отрицательное,-7000..-6001,-1257,1309
-1441,Отрицательное,-2000..-1001,-1252,1270
-4149,Отрицательное,-5000..-4001,-1250,1264
9024,Положительное,9000..10000,-1246,1235
-1302,Отрицательное,-2000..-1001,-1227,1181
-8747,Отрицательное,-9000..-8001,-1206,1164
-6448,Отрицательное,-7000..-6001,-1169,1152
9548,Положительное,9000..10000,-1155,1149
4239,Положительное,4000..4999,-1150,1146
1327,Положительное,1000..1999,-1123,1137
278,Положительное,0..999,-1097,1118
4299,Положительное,4000..4999,-1080,1078
9864,Положительное,9000..10000,-1076,1059
6758,Положительное,6000..6999,-1057,1029
-6211,Отрицательное,-7000..-6001,-1041,1023
2622,Положительное,2000..2999,-1012,1014
8893,Положительное,8000..8999,-1002,1005
-3772,Отрицательное,-4000..-3001,-988,983
-1654,Отрицательное,-2000..-1001,-948,929
-8546,Отрицательное,-9000..-8001,-948,921
4288,Положительное,4000..4999,-940,893
-9945,Отрицательное,-10000..-9001,-934,885
7036,Положительное,7000..7999,-914,851
7643,Положительное,7000..7999,-895,842
-3544,Отрицательное,-4000..-3001,-892,839
1934,Положительное,1000..1999,-886,827
4132,Положительное,4000..4999,-885,819
-7708,Отрицательное,-8000..-7001,-883,807
819,Положительное,0..999,-875,756
286,Положительное,0..999,-873,726
-5917,Отрицательное,-6000..-5001,-871,710
-160,Отрицательное,-1000..-1,-861,688
6617,Положительное,6000..6999,-854,650
134,Положительное,0..999,-837,626
3382,Положительное,3000..3999,-768,621
688,Положительное,0..999,-736,593
3185,Положительное,3000..3999,-732,561
-312,Отрицательное,-1000..-1,-727,561
8166,Положительное,8000..8999,-701,559
-5830,Отрицательное,-6000..-5001,-683,544
-3714,Отрицательное,-4000..-3001,-662,520
3777,Положительное,3000..3999,-653,476
2423,Положительное,2000..2999,-638,397
-4298,Отрицательное,-5000..-4001,-599,366
8648,Положительное,8000..8999,-562,360
-139,Отрицательное,-1000..-1,-560,339
3306,Положительное,3000..3999,-556,336
7954,Положительное,7000..7999,-543,311
-9987,Отрицательное,-10000..-9001,-518,306
-43,Отрицательное,-1000..-1,-457,295
-599,Отрицательное,-1000..-1,-437,286
-3113,Отрицательное,-4000..-3001,-428,278
4086,Положительное,4000..4999,-394,276
9004,Положительное,9000..10000,-383,222
9879,Положительное,9000..10000,-359,214
559,Положительное,0..999,-312,192
5236,Положительное,5000..5999,-293,182
4476,Положительное,4000..4999,-278,171
4488,Положительное,4000..4999,-257,134
-2998,Отрицательное,-3000..-2001,-221,101
6750,Положительное,6000..6999,-217,79
5505,Положительное,5000..5999,-216,76
-4440,Отрицательное,-5000..-4001,-190,47
-7222,Отрицательное,-8000..-7001,-170,33
-701,Отрицательное,-1000..-1,-160,6
6890,Положительное,6000..6999,-139,0
983,Положительное,0..999,-118,-36
-6940,Отрицательное,-7000..-6001,-96,-43
-2304,Отрицательное,-3000..-2001,-88,-44
171,Положительное,0..999,-44,-88
-2639,Отрицательное,-3000..-2001,-43,-96
-3475,Отрицательное,-4000..-3001,-36,-118
-5172,Отрицательное,-6000..-5001,0,-139
-9200,Отрицательное,-10000..-9001,6,-160
-8486,Отрицательное,-9000..-8001,33,-170
-1977,Отрицательное,-2000..-1001,47,-190
5569,Положительное,5000..5999,76,-216
-7614,Отрицательное,-8000..-7001,79,-217
4923,Положительное,4000..4999,101,-221
3580,Положительное,3000..3999,134,-257
8863,Положительное,8000..8999,171,-278
-3629,Отрицательное,-4000..-3001,182,-293
2582,Положительное,2000..2999,192,-312
6199,Положительное,6000..6999,214,-359
3095,Положительное,3000..3999,222,-383
-2006,Отрицательное,-3000..-2001,276,-394
-5165,Отрицательное,-6000..-5001,278,-428
-9819,Отрицательное,-10000..-9001,286,-437
-6508,Отрицательное,-7000..-6001,295,-457
3931,Положительное,3000..3999,306,-518
-2830,Отрицательное,-3000..-2001,311,-543
-4237,Отрицательное,-5000..-4001,336,-556
6972,Положительное,6000..6999,339,-560
5222,Положительное,5000..5999,360,-562
-8355,Отрицательное,-9000..-8001,366,-599
8265,Положительное,8000..8999,397,-638
-1835,Отрицательное,-2000..-1001,476,-653
-6024,Отрицательное,-7000..-6001,520,-662
4957,Положительное,4000..4999,544,-683
-5631,Отрицательное,-6000..-5001,559,-701
5225,Положительное,5000..5999,561,-727
7404,Положительное,7000..7999,561,-732
8314,Положительное,8000..8999,593,-736
9511,Положительное,9000..10000,621,-768
397,Положительное,0..999,626,-837
4502,Положительное,4000..4999,650,-854
6540,Положительное,6000..6999,688,-861
3983,Положительное,3000..3999,710,-871
7952,Положительное,7000..7999,726,-873
4611,Положительное,4000..4999,756,-875
-4785,Отрицательное,-5000..-4001,807,-883
5554,Положительное,5000..5999,819,-885
4747,Положительное,4000..4999,827,-886
-1507,Отрицательное,-2000..-1001,839,-892
-1899,Отрицательное,-2000..-1001,842,-895
-914,Отрицательное,-1000..-1,851,-914
7081,Положительное,7000..7999,885,-934
5879,Положительное,5000..5999,893,-940
-2161,Отрицательное,-3000..-2001,921,-948
-1002,Отрицательное,-2000..-1001,929,-948
4413,Положительное,4000..4999,983,-988
-7462,Отрицательное,-8000..-7001,1005,-1002
-638,Отрицательное,-1000..-1,1014,-1012
-2317,Отрицательное,-3000..-2001,1023,-1041
-1097,Отрицательное,-2000..-1001,1029,-1057
1005,Положительное,1000..1999,1059,-1076
476,Положительное,0..999,1078,-1080
7699,Положительное,7000..7999,1118,-1097
-7360,Отрицательное,-8000..-7001,1137,-1123
-5466,Отрицательное,-6000..-5001,1146,-1150
-5058,Отрицательное,-6000..-5001,1149,-1155
-2423,Отрицательное,-3000..-2001,1152,-1169
2551,Положительное,2000..2999,1164,-1206
-4993,Отрицательное,-5000..-4001,1181,-1227
-2990,Отрицательное,-3000..-2001,1235,-1246
-7896,Отрицательное,-8000..-7001,1264,-1250
3594,Положительное,3000..3999,1270,-1252
3356,Положительное,3000..3999,1309,-1257
842,Положительное,0..999,1327,-1258
7780,Положительное,7000..7999,1377,-1296
5267,Положительное,5000..5999,1401,-1297
3624,Положительное,3000..3999,1436,-1302
-7960,Отрицательное,-8000..-7001,1457,-1310
-3223,Отрицательное,-4000..-3001,1467,-1310
3767,Положительное,3000..3999,1506,-1315
2762,Положительное,2000..2999,1526,-1321
9139,Положительное,9000..10000,1528,-1329
-9360,Отрицательное,-10000..-9001,1589,-1332
8864,Положительное,8000..8999,1609,-1333
2464,Положительное,2000..2999,1626,-1334
5629,Положительное,5000..5999,1641,-1350
-9807,Отрицательное,-10000..-9001,1724,-1370
1526,Положительное,1000..1999,1763,-1391
-216,Отрицательное,-1000..-1,1825,-1417
2779,Положительное,2000..2999,1850,-1441
3730,Положительное,3000..3999,1854,-1456
7636,Положительное,7000..7999,1861,-1476
7895,Положительное,7000..7999,1868,-1507
9767,Положительное,9000..10000,1894,-1535
-2774,Отрицательное,-3000..-2001,1934,-1604
5998,Положительное,5000..5999,1948,-1654
-2810,Отрицательное,-3000..-2001,1954,-1727
-1057,Отрицательное,-2000..-1001,2087,-1730
4281,Положительное,4000..4999,2092,-1734
5913,Положительное,5000..5999,2098,-1762
-9049,Отрицательное,-10000..-9001,2108,-1763
2742,Положительное,2000..2999,2130,-1772
1014,Положительное,1000..1999,2142,-1796
3248,Положительное,3000..3999,2236,-1815
-4592,Отрицательное,-5000..-4001,2252,-1824
5315,Положительное,5000..5999,2298,-1835
-5818,Отрицательное,-6000..-5001,2360,-1853
7502,Положительное,7000..7999,2403,-1868
-9117,Отрицательное,-10000..-9001,2418,-1869
