Исходное значение,Округленное до сотен,Абсолютное значение,Знак,Диапазон
8711,8700,8711,Положительное,8000..8999
8881,8900,8881,Положительное,8000..8999
5488,5500,5488,Положительное,5000..5999
-2038,-2000,2038,Отрицательное,-3000..-2001
5498,5500,5498,Положительное,5000..5999
3338,3300,3338,Положительное,3000..3999
-3761,-3800,3761,Отрицательное,-4000..-3001
-6910,-6900,6910,Отрицательное,-7000..-6001
-6824,-6800,6824,Отрицательное,-7000..-6001
4124,4100,4124,Положительное,4000..4999
1609,1600,1609,Положительное,1000..1999
3879,3900,3879,Положительное,3000..3999
3470,3500,3470,Положительное,3000..3999
5303,5300,5303,Положительное,5000..5999
-8225,-8200,8225,Отрицательное,-9000..-8001
-6776,-6800,6776,Отрицательное,-7000..-6001
-8014,-8000,8014,Отрицательное,-9000..-8001
3193,3200,3193,Положительное,3000..3999
1118,1100,1118,Положительное,1000..1999
-6420,-6400,6420,Отрицательное,-7000..-6001
-1853,-1900,1853,Отрицательное,-2000..-1001
-3722,-3700,3722,Отрицательное,-4000..-3001
-3768,-3800,3768,Отрицательное,-4000..-3001
7573,7600,7573,Положительное,7000..7999
4700,4700,4700,Положительное,4000..4999
-5407,-5400,5407,Отрицательное,-6000..-5001
3824,3800,3824,Положительное,3000..3999
-3988,-4000,3988,Отрицательное,-4000..-3001
-873,-900,873,Отрицательное,-1000..-1
5159,5200,5159,Положительное,5000..5999
-1815,-1800,1815,Отрицательное,-2000..-1001
-7530,-7500,7530,Отрицательное,-8000..-7001
4520,4500,4520,Положительное,4000..4999
8033,8000,8033,Положительное,8000..8999
-6792,-6800,6792,Отрицательное,-7000..-6001
-8343,-8300,8343,Отрицательное,-9000..-8001
7713,7700,7713,Положительное,7000..7999
-9517,-9500,9517,Отрицательное,-10000..-9001
-6944,-6900,6944,Отрицательное,-7000..-6001
-2255,-2300,2255,Отрицательное,-3000..-2001
-4551,-4600,4551,Отрицательное,-5000..-4001
3317,3300,3317,Положительное,3000..3999
5913,5900,5913,Положительное,5000..5999
5773,5800,5773,Положительное,5000..5999
-2996,-3000,2996,Отрицательное,-3000..-2001
3141,3100,3141,Положительное,3000..3999
-8079,-8100,8079,Отрицательное,-9000..-8001
-4606,-4600,4606,Отрицательное,-5000..-4001
2418,2400,2418,Положительное,2000..2999
-9930,-9900,9930,Отрицательное,-10000..-9001
2793,2800,2793,Положительное,2000..2999
-1310,-1300,1310,Отрицательное,-2000..-1001
4909,4900,4909,Положительное,4000..4999
-653,-700,653,Отрицательное,-1000..-1
3861,3900,3861,Положительное,3000..3999
8211,8200,8211,Положительное,8000..8999
5947,5900,5947,Положительное,5000..5999
-4928,-4900,4928,Отрицательное,-5000..-4001
-3778,-3800,3778,Отрицательное,-4000..-3001
-278,-300,278,Отрицательное,-1000..-1
-2867,-2900,2867,Отрицательное,-3000..-2001
-8084,-8100,8084,Отрицательное,-9000..-8001
8978,9000,8978,Положительное,8000..8999
7766,7800,7766,Положительное,7000..7999
-8003,-8000,8003,Отрицательное,-9000..-8001
276,300,276,Положительное,0..999
-8127,-8100,8127,Отрицательное,-9000..-8001
-8357,-8400,8357,Отрицательное,-9000..-8001
9142,9100,9142,Положительное,9000..10000
5623,5600,5623,Положительное,5000..5999
6477,6500,6477,Положительное,6000..6999
7403,7400,7403,Положительное,7000..7999
-4842,-4800,4842,Отрицательное,-5000..-4001
-8137,-8100,8137,Отрицательное,-9000..-8001
6640,6600,6640,Положительное,6000..6999
-7375,-7400,7375,Отрицательное,-8000..-7001
-3911,-3900,3911,Отрицательное,-4000..-3001
-7755,-7800,7755,Отрицательное,-8000..-7001
9498,9500,9498,Положительное,9000..10000
-7774,-7800,7774,Отрицательное,-8000..-7001
-2293,-2300,2293,Отрицательное,-3000..-2001
3230,3200,3230,Положительное,3000..3999
-6072,-6100,6072,Отрицательное,-7000..-6001
8667,8700,8667,Положительное,8000..8999
-1933,-1900,1933,Отрицательное,-2000..-1001
8970,9000,8970,Положительное,8000..8999
9481,9500,9481,Положительное,9000..10000
-8698,-8700,8698,Отрицательное,-9000..-8001
-7314,-7300,7314,Отрицательное,-8000..-7001
3737,3700,3737,Положительное,3000..3999
9125,9100,9125,Положительное,9000..10000
8521,8500,8521,Положительное,8000..8999
7130,7100,7130,Положительное,7000..7999
366,400,366,Положительное,0..999
-1456,-1500,1456,Отрицательное,-2000..-1001
-3307,-3300,3307,Отрицательное,-4000..-3001
295,300,295,Положительное,0..999
-2179,-2200,2179,Отрицательное,-3000..-2001
-1297,-1300,1297,Отрицательное,-2000..-1001
2969,3000,2969,Положительное,2000..2999
-5712,-5700,5712,Отрицательное,-6000..-5001
-170,-200,170,Отрицательное,-1000..-1
4982,5000,4982,Положительное,4000..4999
360,400,360,Положительное,0..999
-7623,-7600,7623,Отрицательное,-8000..-7001
-9695,-9700,9695,Отрицательное,-10000..-9001
5017,5000,5017,Положительное,5000..5999
8448,8400,8448,Положительное,8000..8999
-6724,-6700,6724,Отрицательное,-7000..-6001
-7600,-7600,7600,Отрицательное,-8000..-7001
7617,7600,7617,Положительное,7000..7999
-3016,-3000,3016,Отрицательное,-4000..-3001
6576,6600,6576,Положительное,6000..6999
-1310,-1300,1310,Отрицательное,-2000..-1001
-5660,-5700,5660,Отрицательное,-6000..-5001
1436,1400,1436,Положительное,1000..1999
-7746,-7700,7746,Отрицательное,-8000..-7001
-1996,-2000,1996,Отрицательное,-2000..-1001
2108,2100,2108,Положительное,2000..2999
-662,-700,662,Отрицательное,-1000..-1
-4831,-4800,4831,Отрицательное,-5000..-4001
4358,4400,4358,Положительное,4000..4999
7800,7800,7800,Положительное,7000..7999
-88,-100,88,Отрицательное,-1000..-1
7332,7300,7332,Положительное,7000..7999
-9744,-9700,9744,Отрицательное,-10000..-9001
8173,8200,8173,Положительное,8000..8999
-190,-200,190,Отрицательное,-1000..-1
-6606,-6600,6606,Отрицательное,-7000..-6001
-5600,-5600,5600,Отрицательное,-6000..-5001
-1334,-1300,1334,Отрицательное,-2000..-1001
-6218,-6200,6218,Отрицательное,-7000..-6001
-6493,-6500,6493,Отрицательное,-7000..-6001
8128,8100,8128,Положительное,8000..8999
-4907,-4900,4907,Отрицательное,-5000..-4001
-1076,-1100,1076,Отрицательное,-2000..-1001
-768,-800,768,Отрицательное,-1000..-1
9819,9800,9819,Положительное,9000..10000
-3099,-3100,3099,Отрицательное,-4000..-3001
1235,1200,1235,Положительное,1000..1999
-3329,-3300,3329,Отрицательное,-4000..-3001
-1350,-1400,1350,Отрицательное,-2000..-1001
6561,6600,6561,Положительное,6000..6999
6008,6000,6008,Положительное,6000..6999
-1772,-1800,1772,Отрицательное,-2000..-1001
-8336,-8300,8336,Отрицательное,-9000..-8001
-6976,-7000,6976,Отрицательное,-7000..-6001
3879,3900,3879,Положительное,3000..3999
-934,-900,934,Отрицательное,-1000..-1
-8556,-8600,8556,Отрицательное,-9000..-8001
-9884,-9900,9884,Отрицательное,-10000..-9001
929,900,929,Положительное,0..999
-5714,-5700,5714,Отрицательное,-6000..-5001
-1417,-1400,1417,Отрицательное,-2000..-1001
-4706,-4700,4706,Отрицательное,-5000..-4001
4478,4500,4478,Положительное,4000..4999
8077,8100,8077,Положительное,8000..8999
4014,4000,4014,Положительное,4000..4999
8379,8400,8379,Положительное,8000..8999
-9684,-9700,9684,Отрицательное,-10000..-9001
-6335,-6300,6335,Отрицательное,-7000..-6001
-7535,-7500,7535,Отрицательное,-8000..-7001
-5116,-5100,5116,Отрицательное,-6000..-5001
7877,7900,7877,Положительное,7000..7999
-8820,-8800,8820,Отрицательное,-9000..-8001
2098,2100,2098,Положительное,2000..2999
9087,9100,9087,Положительное,9000..10000
8105,8100,8105,Положительное,8000..8999
-5148,-5100,5148,Отрицательное,-6000..-5001
4083,4100,4083,Положительное,4000..4999
-5824,-5800,5824,Отрицательное,-6000..-5001
-8630,-8600,8630,Отрицательное,-9000..-8001
101,100,101,Положительное,0..999
1948,1900,1948,Положительное,1000..1999
-8693,-8700,8693,Отрицательное,-9000..-8001
1724,1700,1724,Положительное,1000..1999
-3117,-3100,3117,Отрицательное,-4000..-3001
-1824,-1800,1824,Отрицательное,-2000..-1001
-6632,-6600,6632,Отрицательное,-7000..-6001
1589,1600,1589,Положительное,1000..1999
8346,8300,8346,Положительное,8000..8999
3316,3300,3316,Положительное,3000..3999
-4936,-4900,4936,Отрицательное,-5000..-4001
-2243,-2200,2243,Отрицательное,-3000..-2001
-4676,-4700,4676,Отрицательное,-5000..-4001
-4199,-4200,4199,Отрицательное,-5000..-4001
3510,3500,3510,Положительное,3000..3999
-9188,-9200,9188,Отрицательное,-10000..-9001
-4123,-4100,4123,Отрицательное,-5000..-4001
885,900,885,Положительное,0..999
3491,3500,3491,Положительное,3000..3999
-1869,-1900,1869,Отрицательное,-2000..-1001
-1258,-1300,1258,Отрицательное,-2000..-1001
-4784,-4800,4784,Отрицательное,-5000..-4001
-6458,-6500,6458,Отрицательное,-7000..-6001
2535,2500,2535,Положительное,2000..2999
-8732,-8700,8732,Отрицательное,-9000..-8001
5423,5400,5423,Положительное,5000..5999
-2712,-2700,2712,Отрицательное,-3000..-2001
-3461,-3500,3461,Отрицательное,-4000..-3001
5083,5100,5083,Положительное,5000..5999
1457,1500,1457,Положительное,1000..1999
0,0,0,Ноль,0..999
-2543,-2500,2543,Отрицательное,-3000..-2001
-2696,-2700,2696,Отрицательное,-3000..-2001
-9225,-9200,9225,Отрицательное,-10000..-9001
-3672,-3700,3672,Отрицательное,-4000..-3001
3056,3100,3056,Положительное,3000..3999
756,800,756,Положительное,0..999
-871,-900,871,Отрицательное,-1000..-1
-7726,-7700,7726,Отрицательное,-8000..-7001
-854,-900,854,Отрицательное,-1000..-1
1506,1500,1506,Положительное,1000..1999
6692,6700,6692,Положительное,6000..6999
3096,3100,3096,Положительное,3000..3999
7570,7600,7570,Положительное,7000..7999
851,900,851,Положительное,0..999
-9096,-9100,9096,Отрицательное,-10000..-9001
-6221,-6200,6221,Отрицательное,-7000..-6001
-1441,-1400,1441,Отрицательное,-2000..-1001
-4149,-4100,4149,Отрицательное,-5000..-4001
9024,9000,9024,Положительное,9000..10000
-1302,-1300,1302,Отрицательное,-2000..-1001
-8747,-8700,8747,Отрицательное,-9000..-8001
-6448,-6400,6448,Отрицательное,-7000..-6001
9548,9500,9548,Положительное,9000..10000
4239,4200,4239,Положительное,4000..4999
1327,1300,1327,Положительное,1000..1999
278,300,278,Положительное,0..999
4299,4300,4299,Положительное,4000..4999
9864,9900,9864,Положительное,9000..10000
6758,6800,6758,Положительное,6000..6999
-6211,-6200,6211,Отрицательное,-7000..-6001
2622,2600,2622,Положительное,2000..2999
8893,8900,8893,Положительное,8000..8999
-3772,-3800,3772,Отрицательное,-4000..-3001
-1654,-1700,1654,Отрицательное,-2000..-1001
-8546,-8500,8546,Отрицательное,-9000..-8001
4288,4300,4288,Положительное,4000..4999
-9945,-9900,9945,Отрицательное,-10000..-9001
7036,7000,7036,Положительное,7000..7999
7643,7600,7643,Положительное,7000..7999
-3544,-3500,3544,Отрицательное,-4000..-3001
1934,1900,1934,Положительное,1000..1999
4132,4100,4132,Положительное,4000..4999
-7708,-7700,7708,Отрицательное,-8000..-7001
819,800,819,Положительное,0..999
286,300,286,Положительное,0..999
-5917,-5900,5917,Отрицательное,-6000..-5001
-160,-200,160,Отрицательное,-1000..-1
6617,6600,6617,Положительное,6000..6999
134,100,134,Положительное,0..999
3382,3400,3382,Положительное,3000..3999
688,700,688,Положительное,0..999
3185,3200,3185,Положительное,3000..3999
-312,-300,312,Отрицательное,-1000..-1
8166,8200,8166,Положительное,8000..8999
-5830,-5800,5830,Отрицательное,-6000..-5001
-3714,-3700,3714,Отрицательное,-4000..-3001
3777,3800,3777,Положительное,3000..3999
2423,2400,2423,Положительное,2000..2999
-4298,-4300,4298,Отрицательное,-5000..-4001
8648,8600,8648,Положительное,8000..8999
-139,-100,139,Отрицательное,-1000..-1
3306,3300,3306,Положительное,3000..3999
7954,8000,7954,Положительное,7000..7999
-9987,-10000,9987,Отрицательное,-10000..-9001
-43,0,43,Отрицательное,-1000..-1
-599,-600,599,Отрицательное,-1000..-1
-3113,-3100,3113,Отрицательное,-4000..-3001
4086,4100,4086,Положительное,4000..4999
9004,9000,9004,Положительное,9000..10000
9879,9900,9879,Положительное,9000..10000
559,600,559,Положительное,0..999
5236,5200,5236,Положительное,5000..5999
4476,4500,4476,Положительное,4000..4999
4488,4500,4488,Положительное,4000..4999
-2998,-3000,2998,Отрицательное,-3000..-2001
6750,6800,6750,Положительное,6000..6999
5505,5500,5505,Положительное,5000..5999
-4440,-4400,4440,Отрицательное,-5000..-4001
-7222,-7200,7222,Отрицательное,-8000..-7001
-701,-700,701,Отрицательное,-1000..-1
6890,6900,6890,Положительное,6000..6999
983,1000,983,Положительное,0..999
-6940,-6900,6940,Отрицательное,-7000..-6001
-2304,-2300,2304,Отрицательное,-3000..-2001
171,200,171,Положительное,0..999
-2639,-2600,2639,Отрицательное,-3000..-2001
-3475,-3500,3475,Отрицательное,-4000..-3001
-5172,-5200,5172,Отрицательное,-6000..-5001
-9200,-9200,9200,Отрицательное,-10000..-9001
-8486,-8500,8486,Отрицательное,-9000..-8001
-1977,-2000,1977,Отрицательное,-2000..-1001
5569,5600,5569,Положительное,5000..5999
-7614,-7600,7614,Отрицательное,-8000..-7001
4923,4900,4923,Положительное,4000..4999
3580,3600,3580,Положительное,3000..3999
8863,8900,8863,Положительное,8000..8999
-3629,-3600,3629,Отрицательное,-4000..-3001
2582,2600,2582,Положительное,2000..2999
6199,6200,6199,Положительное,6000..6999
3095,3100,3095,Положительное,3000..3999
-2006,-2000,2006,Отрицательное,-3000..-2001
-5165,-5200,5165,Отрицательное,-6000..-5001
-9819,-9800,9819,Отрицательное,-10000..-9001
-6508,-6500,6508,Отрицательное,-7000..-6001
3931,3900,3931,Положительное,3000..3999
-2830,-2800,2830,Отрицательное,-3000..-2001
-4237,-4200,4237,Отрицательное,-5000..-4001
6972,7000,6972,Положительное,6000..6999
5222,5200,5222,Положительное,5000..5999
-8355,-8400,8355,Отрицательное,-9000..-8001
8265,8300,8265,Положительное,8000..8999
-1835,-1800,1835,Отрицательное,-2000..-1001
-6024,-6000,6024,Отрицательное,-7000..-6001
4957,5000,4957,Положительное,4000..4999
-5631,-5600,5631,Отрицательное,-6000..-5001
5225,5200,5225,Положительное,5000..5999
7404,7400,7404,Положительное,7000..7999
8314,8300,8314,Положительное,8000..8999
9511,9500,9511,Положительное,9000..10000
397,400,397,Положительное,0..999
4502,4500,4502,Положительное,4000..4999
6540,6500,6540,Положительное,6000..6999
3983,4000,3983,Положительное,3000..3999
7952,8000,7952,Положительное,7000..7999
4611,4600,4611,Положительное,4000..4999
-4785,-4800,4785,Отрицательное,-5000..-4001
5554,5600,5554,Положительное,5000..5999
4747,4700,4747,Положительное,4000..4999
-1507,-1500,1507,Отрицательное,-2000..-1001
-1899,-1900,1899,Отрицательное,-2000..-1001
-914,-900,914,Отрицательное,-1000..-1
7081,7100,7081,Положительное,7000..7999
5879,5900,5879,Положительное,5000..5999
-2161,-2200,2161,Отрицательное,-3000..-2001
-1002,-1000,1002,Отрицательное,-2000..-1001
4413,4400,4413,Положительное,4000..4999
-7462,-7500,7462,Отрицательное,-8000..-7001
-638,-600,638,Отрицательное,-1000..-1
-2317,-2300,2317,Отрицательное,-3000..-2001
-1097,-1100,1097,Отрицательное,-2000..-1001
1005,1000,1005,Положительное,1000..1999
476,500,476,Положительное,0..999
7699,7700,7699,Положительное,7000..7999
-7360,-7400,7360,Отрицательное,-8000..-7001
-5466,-5500,5466,Отрицательное,-6000..-5001
-5058,-5100,5058,Отрицательное,-6000..-5001
-2423,-2400,2423,Отрицательное,-3000..-2001
2551,2600,2551,Положительное,2000..2999
-4993,-5000,4993,Отрицательное,-5000..-4001
-2990,-3000,2990,Отрицательное,-3000..-2001
-7896,-7900,7896,Отрицательное,-8000..-7001
3594,3600,3594,Положительное,3000..3999
3356,3400,3356,Положительное,3000..3999
842,800,842,Положительное,0..999
7780,7800,7780,Положительное,7000..7999
5267,5300,5267,Положительное,5000..5999
3624,3600,3624,Положительное,3000..3999
-7960,-8000,7960,Отрицательное,-8000..-7001
-3223,-3200,3223,Отрицательное,-4000..-3001
3767,3800,3767,Положительное,3000..3999
2762,2800,2762,Положительное,2000..2999
9139,9100,9139,Положительное,9000..10000
-9360,-9400,9360,Отрицательное,-10000..-9001
8864,8900,8864,Положительное,8000..8999
2464,2500,2464,Положительное,2000..2999
5629,5600,5629,Положительное,5000..5999
-9807,-9800,9807,Отрицательное,-10000..-9001
1526,1500,1526,Положительное,1000..1999
-216,-200,216,Отрицательное,-1000..-1
2779,2800,2779,Положительное,2000..2999
3730,3700,3730,Положительное,3000..3999
7636,7600,7636,Положительное,7000..7999
7895,7900,7895,Положительное,7000..7999
9767,9800,9767,Положительное,9000..10000
-2774,-2800,2774,Отрицательное,-3000..-2001
5998,6000,5998,Положительное,5000..5999
-2810,-2800,2810,Отрицательное,-3000..-2001
-1057,-1100,1057,Отрицательное,-2000..-1001
4281,4300,4281,Положительное,4000..4999
5913,5900,5913,Положительное,5000..5999
-9049,-9000,9049,Отрицательное,-10000..-9001
2742,2700,2742,Положительное,2000..2999
1014,1000,1014,Положительное,1000..1999
3248,3200,3248,Положительное,3000..3999
-4592,-4600,4592,Отрицательное,-5000..-4001
5315,5300,5315,Положительное,5000..5999
-5818,-5800,5818,Отрицательное,-6000..-5001
7502,7500,7502,Положительное,7000..7999
-9117,-9100,9117,Отрицательное,-10000..-9001
2911,2900,2911,Положительное,2000..2999
9395,9400,9395,Положительное,9000..10000
8493,8500,8493,Положительное,8000..8999
-9112,-9100,9112,Отрицательное,-10000..-9001
-7250,-7200,7250,Отрицательное,-8000..-7001
4044,4000,4044,Положительное,4000..4999
-5554,-5600,5554,Отрицательное,-6000..-5001
5128,5100,5128,Положительное,5000..5999
-4046,-4000,4046,Отрицательное,-5000..-4001
